buy_id,customer_id,total_buys
172,741,2
173,733,5
174,742,4
175,743,1
176,744,1
177,80,4
178,745,1
179,746,3
180,15,2
181,34,11
182,665,9
183,747,5
184,746,3
185,38,4
186,748,1
187,749,1
188,39,6
189,40,3
190,41,8
191,750,1
192,42,7
193,751,1
194,21,10
195,4,13
196,1,28
197,752,1
198,753,1
199,754,1
200,41,8
201,43,4
202,755,4
203,756,1
204,757,1
205,81,11
206,362,14
207,722,22
208,11,18
209,758,4
210,759,1
211,218,28
212,41,8
213,95,3
214,44,1
215,760,10
216,45,21
217,761,1
218,762,1
219,46,3
220,763,9
221,740,3
222,764,1
223,765,2
224,50,19
225,1,28
226,766,1
227,47,1
228,767,3
229,768,3
230,769,1
231,770,4
232,48,4
233,768,3
234,49,6
235,771,2
236,772,5
237,725,6
238,773,1
239,11,18
240,774,1
241,775,3
242,771,2
243,776,1
244,677,16
245,731,8
246,41,8
247,758,4
248,777,3
249,778,1
250,779,2
251,780,2
252,640,2
253,781,8
254,782,1
255,50,19
256,783,1
257,731,8
258,770,4
259,784,2
260,51,6
261,785,1
262,786,4
263,787,21
264,788,4
265,50,19
266,789,2
267,790,2
268,791,1
269,52,1
270,792,1
271,763,9
272,722,22
273,725,6
274,779,2
275,61,17
276,218,28
277,793,1
278,53,3
279,794,7
280,795,12
281,736,2
282,41,8
283,796,1
284,777,3
285,797,1
286,1,28
287,42,7
288,11,18
289,798,1
290,799,1
291,709,18
292,53,3
293,742,4
294,81,11
295,61,17
296,800,2
297,795,12
298,794,7
299,801,1
300,54,6
301,802,5
302,803,3
303,804,1
304,805,2
305,806,1
306,807,1
307,4,13
308,55,2
309,56,5
310,57,4
311,58,2
312,59,13
313,725,6
314,760,10
315,722,22
316,50,19
317,808,2
318,809,3
319,810,1
320,667,3
321,60,1
322,1,28
323,4,13
324,676,5
325,61,17
326,62,4
327,742,4
328,811,1
329,73,6
330,812,1
331,57,4
332,11,18
333,813,8
334,814,3
335,800,2
336,63,3
337,794,7
338,665,9
339,698,4
340,813,8
341,1,28
342,815,3
343,816,1
344,41,8
345,61,17
346,817,1
347,818,3
348,819,1
349,530,10
350,820,2
351,64,1
352,65,3
353,818,3
354,821,3
355,822,1
356,709,18
357,823,6
358,628,29
359,742,4
360,55,2
361,66,1
362,824,1
363,306,3
364,4,13
365,788,4
366,67,1
367,117,12
368,41,8
369,823,6
370,825,1
371,665,9
372,668,2
373,560,23
374,826,1
375,827,1
376,41,8
377,22,11
378,828,2
379,829,2
380,731,8
381,1,28
382,820,2
383,61,17
384,830,1
385,831,2
386,832,3
387,833,2
388,11,18
389,834,1
390,835,1
391,836,1
392,837,4
393,71,17
394,808,2
395,709,18
396,710,2
397,68,3
398,339,2
399,560,23
400,795,12
401,222,11
402,838,1
403,839,2
404,160,7
405,760,10
406,840,1
407,463,1
408,45,21
409,70,1
410,61,17
411,50,19
412,71,17
413,72,8
414,73,6
415,294,11
416,714,3
417,74,2
418,841,6
419,842,2
420,843,2
421,844,4
422,845,4
423,75,1
424,828,2
425,846,1
426,351,3
427,68,3
428,847,1
429,848,2
430,763,9
431,89,6
432,849,1
433,850,2
434,61,17
435,560,23
436,851,4
437,76,2
438,42,7
439,77,2
440,852,1
441,722,22
442,155,2
443,71,17
444,845,4
445,844,4
446,77,2
447,78,1
448,853,2
449,781,8
450,725,6
451,79,6
452,787,21
453,854,1
454,49,6
455,790,2
456,691,11
457,104,4
458,362,14
459,669,3
460,80,4
461,261,7
462,855,2
463,741,2
464,856,1
465,857,1
466,858,1
467,294,11
468,859,1
469,160,7
470,794,7
471,718,2
472,860,3
473,177,3
474,125,2
475,861,1
476,862,2
477,23,4
478,863,1
479,864,15
480,716,2
481,89,6
482,50,19
483,81,11
484,795,12
485,82,1
486,865,1
487,866,1
488,867,1
489,868,1
490,83,6
491,869,3
492,870,1
493,94,2
494,765,2
495,871,1
496,706,23
497,872,1
498,873,1
499,86,2
500,560,23
501,85,2
502,874,1
503,73,6
504,875,4
505,876,1
506,87,9
507,733,5
508,90,1
509,61,17
510,781,8
511,841,6
512,877,2
513,85,2
514,878,1
515,88,2
516,864,15
517,879,1
518,760,10
519,733,5
520,208,6
521,14,15
522,91,1
523,880,1
524,709,18
525,747,5
526,869,3
527,881,4
528,92,3
529,860,3
530,882,1
531,883,6
532,787,21
533,83,6
534,789,2
535,10,5
536,93,1
537,61,17
538,795,12
539,884,1
540,94,2
541,24,2
542,9,2
543,770,4
544,95,3
545,885,1
546,96,1
547,886,2
548,887,2
549,888,2
550,862,2
551,350,6
552,889,1
553,709,18
554,890,1
555,162,22
556,891,2
557,881,4
558,892,11
559,722,22
560,116,4
561,893,6
562,19,19
563,160,7
564,97,1
565,894,1
566,895,3
567,896,1
568,98,7
569,435,14
570,99,1
571,100,2
572,731,8
573,101,1
574,30,9
575,897,1
576,45,21
577,893,6
578,87,9
579,717,5
580,898,3
581,899,2
582,900,2
583,30,9
584,760,10
585,103,6
586,104,4
587,103,6
588,898,3
589,61,17
590,901,1
591,722,22
592,691,11
593,294,11
594,902,5
595,105,4
596,903,1
597,51,6
598,714,3
599,560,23
600,80,4
601,883,6
602,725,6
603,34,11
604,904,2
605,737,2
606,71,17
607,905,1
608,106,1
609,906,1
610,907,11
611,107,2
612,108,4
613,837,4
614,294,11
615,908,2
616,887,2
617,909,1
618,910,1
619,109,2
620,911,4
621,61,17
622,110,1
623,111,2
624,746,3
625,772,5
626,723,4
627,112,8
628,435,14
629,912,1
630,113,4
631,698,4
632,1,28
633,105,4
634,114,1
635,813,8
636,892,11
637,913,4
638,686,8
639,115,1
640,914,1
641,116,4
642,915,1
643,916,1
644,530,10
645,388,2
646,917,2
647,54,6
648,918,22
649,117,12
650,118,34
651,919,1
652,189,7
653,920,3
654,119,1
655,772,5
656,120,5
657,121,5
658,122,2
659,891,2
660,921,1
661,123,1
662,241,2
663,780,2
664,922,3
665,923,1
666,628,29
667,924,2
668,925,1
669,120,5
670,124,22
671,125,2
672,189,7
673,127,6
674,126,1
675,926,1
676,560,23
677,892,11
678,128,4
679,129,1
680,927,5
681,928,2
682,50,19
683,139,6
684,929,3
685,165,12
686,628,29
687,130,1
688,920,3
689,930,1
690,928,2
691,931,1
692,22,11
693,116,4
694,932,1
695,933,5
696,934,1
697,131,7
698,242,5
699,935,1
700,936,1
701,937,1
702,617,9
703,665,9
704,938,4
705,939,114
706,940,4
707,841,6
708,941,4
709,942,1
710,543,26
711,132,1
712,628,29
713,943,1
714,135,1
715,893,6
716,944,1
717,945,1
718,134,1
719,938,4
720,946,5
721,38,4
722,947,3
723,50,19
724,133,5
725,88,2
726,948,5
727,949,3
728,664,3
729,137,3
730,950,3
731,213,9
732,45,21
733,218,28
734,733,5
735,138,8
736,145,21
737,187,35
738,222,11
739,951,3
740,543,26
741,139,6
742,156,26
743,50,19
744,435,14
745,140,3
746,664,3
747,141,16
748,933,5
749,136,3
750,142,3
751,952,2
752,143,1
753,31,6
754,71,17
755,42,7
756,144,2
757,145,21
758,731,8
759,723,4
760,146,6
761,676,5
762,54,6
763,953,1
764,147,1
765,954,2
766,148,1
767,141,16
768,149,2
769,955,9
770,956,1
771,957,1
772,958,1
773,156,26
774,959,2
775,955,9
776,899,2
777,941,4
778,949,3
779,51,6
780,960,2
781,939,114
782,961,7
783,218,28
784,22,11
785,823,6
786,927,5
787,311,2
788,961,7
789,548,2
790,150,2
791,20,4
792,962,2
793,963,1
794,933,5
795,964,2
796,124,22
797,965,1
798,151,2
799,966,2
800,967,1
801,286,32
802,560,23
803,152,2
804,21,10
805,153,1
806,955,9
807,933,5
808,156,26
809,809,3
810,34,11
811,61,17
812,286,32
813,968,1
814,969,1
815,772,5
816,970,1
817,154,1
818,939,114
819,155,2
820,918,22
821,971,2
822,118,34
823,972,3
824,973,2
825,955,9
826,2,7
827,974,1
828,567,4
829,176,7
830,940,4
831,975,3
832,976,1
833,977,3
834,978,3
835,979,4
836,329,4
837,980,7
838,981,2
839,982,1
840,892,11
841,156,26
842,43,4
843,286,32
844,983,1
845,955,9
846,157,1
847,984,3
848,350,6
849,187,35
850,955,9
851,122,2
852,124,22
853,980,7
854,142,3
855,102,2
856,985,1
857,724,2
858,158,3
859,638,6
860,159,4
861,34,11
862,21,10
863,160,7
864,62,4
865,161,2
866,435,14
867,162,22
868,163,7
869,986,1
870,946,5
871,164,4
872,30,9
873,165,12
874,987,1
875,988,1
876,989,1
877,166,2
878,118,34
879,939,114
880,12,3
881,990,2
882,991,2
883,992,3
884,167,5
885,543,26
886,980,7
887,972,3
888,993,5
889,994,2
890,995,1
891,755,4
892,168,2
893,117,12
894,169,1
895,996,1
896,192,3
897,171,1
898,997,1
899,998,6
900,294,11
901,118,34
902,95,3
903,999,6
904,1000,2
905,162,22
906,141,16
907,543,26
908,131,7
909,1001,1
910,955,9
911,145,21
912,138,8
913,1002,1
914,1003,1
915,1004,4
916,1005,2
917,763,9
918,102,2
919,156,26
920,760,10
921,34,11
922,1006,1
923,1007,1
924,999,6
925,172,19
926,1008,1
927,173,9
928,755,4
929,174,1
930,150,2
931,21,10
932,160,7
933,1009,2
934,1010,2
935,955,9
936,860,3
937,163,7
938,563,5
939,42,7
940,245,6
941,864,15
942,560,23
943,145,21
944,864,15
945,165,12
946,452,6
947,1011,1
948,175,2
949,117,12
950,1012,1
951,112,8
952,144,2
953,1013,1
954,755,4
955,787,21
956,1014,2
957,1015,6
958,176,7
959,638,6
960,781,8
961,245,6
962,864,15
963,1,28
964,1016,8
965,177,3
966,1017,4
967,120,5
968,1018,1
969,1019,4
970,1020,1
971,59,13
972,709,18
973,172,19
974,1021,1
975,151,2
976,763,9
977,1022,6
978,156,26
979,179,1
980,1023,1
981,167,5
982,124,22
983,72,8
984,1024,1
985,911,4
986,1025,1
987,180,2
988,181,1
989,1026,1
990,199,1
991,1027,1
992,10,5
993,145,21
994,722,22
995,45,21
996,1028,5
997,883,6
998,182,3
999,1010,2
1000,1029,2
1001,1030,1
1002,128,4
1003,747,5
1004,1031,1
1005,1032,1
1006,183,3
1007,218,28
1008,435,14
1009,156,26
1010,1033,2
1011,918,22
1012,167,5
1013,1034,1
1014,1035,5
1015,173,9
1016,1036,1
1017,1037,1
1018,1038,1
1019,677,16
1020,184,1
1021,1039,2
1022,207,4
1023,1040,1
1024,116,4
1025,1041,1
1026,118,34
1027,185,1
1028,802,5
1029,186,4
1030,187,35
1031,691,11
1032,787,21
1033,45,21
1034,188,1
1035,405,6
1036,740,3
1037,775,3
1038,1042,1
1039,1043,1
1040,216,6
1041,877,2
1042,1044,1
1043,133,5
1044,939,114
1045,1045,1
1046,1046,1
1047,1047,5
1048,1048,3
1049,61,17
1050,1049,1
1051,1050,4
1052,165,12
1053,19,19
1054,14,15
1055,991,2
1056,1051,1
1057,182,3
1058,775,3
1059,189,7
1060,939,114
1061,1052,1
1062,617,9
1063,118,34
1064,145,21
1065,1053,1
1066,71,17
1067,54,6
1068,955,9
1069,786,4
1070,193,4
1071,1054,4
1072,1055,4
1073,87,9
1074,1056,1
1075,218,28
1076,193,4
1077,1057,2
1078,731,8
1079,131,7
1080,218,28
1081,83,6
1082,71,17
1083,190,7
1084,50,19
1085,1058,4
1086,191,5
1087,1059,1
1088,405,6
1089,722,22
1090,948,5
1091,1060,4
1092,841,6
1093,1061,2
1094,1062,1
1095,1058,4
1096,198,3
1097,1063,2
1098,939,114
1099,192,3
1100,1016,8
1101,927,5
1102,1064,1
1103,193,4
1104,194,2
1105,218,28
1106,118,34
1107,149,2
1108,1058,4
1109,195,3
1110,845,4
1111,1065,1
1112,140,3
1113,1066,3
1114,32,2
1115,405,6
1116,1067,61
1117,156,26
1118,977,3
1119,1068,1
1120,14,15
1121,845,4
1122,787,21
1123,1069,1
1124,128,4
1125,717,5
1126,141,16
1127,87,9
1128,190,7
1129,1070,3
1130,1071,1
1131,1022,6
1132,1000,2
1133,1060,4
1134,1050,4
1135,194,2
1136,900,2
1137,1072,2
1138,952,2
1139,939,114
1140,815,3
1141,197,6
1142,1015,6
1143,1073,1
1144,1074,1
1145,814,3
1146,10,5
1147,767,3
1148,1067,61
1149,883,6
1150,1075,1
1151,1076,1
1152,939,114
1153,200,3
1154,1077,3
1155,197,6
1156,809,3
1157,1060,4
1158,802,5
1159,198,3
1160,140,3
1161,1078,1
1162,202,3
1163,203,2
1164,1016,8
1165,1072,2
1166,1079,6
1167,843,2
1168,203,2
1169,1060,4
1170,1079,6
1171,620,11
1172,34,11
1173,139,6
1174,1055,4
1175,205,7
1176,841,6
1177,1055,4
1178,1080,1
1179,598,6
1180,1081,3
1181,1017,4
1182,939,114
1183,206,4
1184,207,4
1185,205,7
1186,1035,5
1187,164,4
1188,23,4
1189,1082,1
1190,1083,1
1191,1084,1
1192,1085,2
1193,1086,1
1194,208,6
1195,1087,9
1196,1067,61
1197,120,5
1198,72,8
1199,124,22
1200,209,2
1201,1087,9
1202,210,4
1203,1088,11
1204,435,14
1205,913,4
1206,1089,2
1207,1090,1
1208,211,1
1209,1088,11
1210,634,13
1211,1091,1
1212,1092,1
1213,435,14
1214,848,2
1215,212,4
1216,1055,4
1217,677,16
1218,530,10
1219,213,9
1220,939,114
1221,117,12
1222,620,11
1223,1093,1
1224,573,5
1225,1094,1
1226,1004,4
1227,573,5
1228,118,34
1229,1095,1
1230,214,2
1231,215,2
1232,634,13
1233,1096,1
1234,104,4
1235,142,3
1236,196,4
1237,1097,10
1238,978,3
1239,313,87
1240,1087,9
1241,1067,61
1242,1098,2
1243,1097,10
1244,821,3
1245,457,4
1246,160,7
1247,1099,6
1248,177,3
1249,216,6
1250,220,7
1251,217,3
1252,168,2
1253,121,5
1254,1099,6
1255,1097,10
1256,218,28
1257,532,3
1258,14,15
1259,722,22
1260,1100,1
1261,939,114
1262,1081,3
1263,219,3
1264,127,6
1265,922,3
1266,1101,1
1267,193,4
1268,244,7
1269,1015,6
1270,220,7
1271,71,17
1272,221,1
1273,1102,1
1274,961,7
1275,709,18
1276,1015,6
1277,222,11
1278,1103,1
1279,11,18
1280,1104,2
1281,1105,2
1282,40,3
1283,127,6
1284,1067,61
1285,1098,2
1286,118,34
1287,1106,1
1288,224,1
1289,223,6
1290,1107,1
1291,162,22
1292,671,4
1293,225,1
1294,12,3
1295,232,2
1296,573,5
1297,1028,5
1298,141,16
1299,898,3
1300,226,4
1301,227,1
1302,813,8
1303,1108,1
1304,1109,3
1305,1110,2
1306,229,10
1307,1097,10
1308,146,6
1309,145,21
1310,230,3
1311,61,17
1312,1017,4
1313,231,8
1314,313,87
1315,1087,9
1316,1111,4
1317,232,2
1318,1112,2
1319,939,114
1320,257,9
1321,532,3
1322,233,1
1323,234,5
1324,22,11
1325,30,9
1326,1113,1
1327,815,3
1328,787,21
1329,1114,7
1330,189,7
1331,1022,6
1332,243,13
1333,1115,1
1334,1116,1
1335,100,2
1336,1117,2
1337,191,5
1338,1118,1
1339,313,87
1340,1119,1
1341,1120,4
1342,1087,9
1343,1121,1
1344,350,6
1345,61,17
1346,92,3
1347,1122,20
1348,30,9
1349,892,11
1350,1123,4
1351,1017,4
1352,235,2
1353,1124,4
1354,535,1
1355,167,5
1356,236,10
1357,264,7
1358,1088,11
1359,59,13
1360,1125,2
1361,980,7
1362,832,3
1363,665,9
1364,145,21
1365,1126,1
1366,1127,1
1367,939,114
1368,1128,2
1369,1129,3
1370,118,34
1371,1130,1
1372,1105,2
1373,1131,2
1374,1029,2
1375,435,14
1376,218,28
1377,1132,3
1378,573,5
1379,237,3
1380,238,4
1381,842,2
1382,239,1
1383,54,6
1384,1125,2
1385,54,6
1386,530,10
1387,1133,1
1388,81,11
1389,162,22
1390,1134,1
1391,1135,1
1392,1136,1
1393,1137,6
1394,236,10
1395,1138,1
1396,240,5
1397,352,4
1398,241,2
1399,249,3
1400,1139,1
1401,1140,3
1402,1141,2
1403,1142,2
1404,1143,39
1405,231,8
1406,1087,9
1407,1144,4
1408,1145,2
1409,313,87
1410,676,5
1411,1077,3
1412,1140,3
1413,543,26
1414,1146,3
1415,242,5
1416,319,20
1417,218,28
1418,299,3
1419,1147,7
1420,313,87
1421,220,7
1422,893,6
1423,243,13
1424,31,6
1425,939,114
1426,829,2
1427,238,4
1428,676,5
1429,869,3
1430,1111,4
1431,244,7
1432,1148,6
1433,59,13
1434,1149,1
1435,1150,1
1436,1143,39
1437,105,4
1438,145,21
1439,245,6
1440,118,34
1441,246,2
1442,145,21
1443,1151,6
1444,706,23
1445,795,12
1446,1152,1
1447,247,2
1448,313,87
1449,1120,4
1450,1122,20
1451,248,2
1452,426,5
1453,767,3
1454,452,6
1455,1153,3
1456,249,3
1457,222,11
1458,941,4
1459,1154,1
1460,543,26
1461,319,20
1462,1155,1
1463,1097,10
1464,1156,1
1465,1087,9
1466,313,87
1467,1157,1
1468,617,9
1469,231,8
1470,918,22
1471,250,18
1472,1158,1
1473,1140,3
1474,1159,1
1475,86,2
1476,163,7
1477,251,1
1478,670,3
1479,252,3
1480,939,114
1481,218,28
1482,190,7
1483,1028,5
1484,1054,4
1485,1122,20
1486,907,11
1487,282,3
1488,1109,3
1489,253,3
1490,992,3
1491,1160,2
1492,236,10
1493,27,2
1494,598,6
1495,254,1
1496,131,7
1497,1161,5
1498,1162,1
1499,118,34
1500,313,87
1501,738,5
1502,426,5
1503,1163,1
1504,1164,1
1505,326,5
1506,146,6
1507,1145,2
1508,81,11
1509,187,35
1510,1165,1
1511,63,3
1512,939,114
1513,313,87
1514,230,3
1515,98,7
1516,255,2
1517,1166,1
1518,1167,1
1519,927,5
1520,257,9
1521,1168,1
1522,258,2
1523,81,11
1524,313,87
1525,1169,1
1526,1170,8
1527,1143,39
1528,259,6
1529,146,6
1530,30,9
1531,222,11
1532,680,3
1533,256,8
1534,1171,2
1535,1172,1
1536,1173,1
1537,1174,1
1538,208,6
1539,260,2
1540,839,2
1541,156,26
1542,1175,1
1543,196,4
1544,255,2
1545,261,7
1546,205,7
1547,788,4
1548,218,28
1549,104,4
1550,222,11
1551,313,87
1552,1176,1
1553,108,4
1554,990,2
1555,864,15
1556,263,1
1557,1177,6
1558,939,114
1559,264,7
1560,1178,1
1561,978,3
1562,261,7
1563,892,11
1564,250,18
1565,1170,8
1566,1088,11
1567,286,32
1568,39,6
1569,265,2
1570,1028,5
1571,1179,2
1572,286,32
1573,893,6
1574,1180,2
1575,313,87
1576,1181,3
1577,886,2
1578,1182,6
1579,1183,4
1580,172,19
1581,266,1
1582,156,26
1583,45,21
1584,1144,4
1585,256,8
1586,250,18
1587,72,8
1588,1184,1
1589,240,5
1590,213,9
1591,1185,4
1592,145,21
1593,1180,2
1594,1186,2
1595,469,5
1596,112,8
1597,267,2
1598,1015,6
1599,1187,5
1600,445,5
1601,1015,6
1602,1170,8
1603,1188,3
1604,252,3
1605,455,8
1606,1189,2
1607,939,114
1608,1190,1
1609,1191,1
1610,972,3
1611,973,2
1612,1192,3
1613,1193,1
1614,231,8
1615,268,2
1616,1181,3
1617,1194,1
1618,71,17
1619,269,2
1620,1124,4
1621,270,5
1622,1195,1
1623,71,17
1624,284,18
1625,271,6
1626,272,1
1627,289,10
1628,1058,4
1629,274,4
1630,1196,1
1631,275,3
1632,220,7
1633,276,3
1634,139,6
1635,22,11
1636,250,18
1637,89,6
1638,277,3
1639,267,2
1640,278,4
1641,1197,1
1642,304,3
1643,1198,1
1644,145,21
1645,279,17
1646,1199,1
1647,212,4
1648,1200,1
1649,306,3
1650,1143,39
1651,1201,3
1652,1122,20
1653,1189,2
1654,280,4
1655,1202,1
1656,763,9
1657,1203,1
1658,281,1
1659,738,5
1660,159,4
1661,709,18
1662,1204,7
1663,162,22
1664,271,6
1665,895,3
1666,1205,1
1667,1022,6
1668,1206,2
1669,1207,2
1670,21,10
1671,1208,1
1672,788,4
1673,282,3
1674,283,14
1675,939,114
1676,1146,3
1677,1209,1
1678,89,6
1679,1210,1
1680,1211,1
1681,1161,5
1682,79,6
1683,265,2
1684,230,3
1685,284,18
1686,191,5
1687,138,8
1688,763,9
1689,1212,2
1690,1213,2
1691,1214,2
1692,156,26
1693,242,5
1694,284,18
1695,1215,19
1696,1216,1
1697,286,32
1698,313,87
1699,1217,1
1700,287,3
1701,117,12
1702,1087,9
1703,289,10
1704,257,9
1705,290,8
1706,1218,4
1707,1124,4
1708,1219,1
1709,156,26
1710,1220,1
1711,1221,1
1712,1123,4
1713,1222,1
1714,1223,4
1715,1224,3
1716,1225,2
1717,814,3
1718,1226,1
1719,1227,1
1720,1228,1
1721,73,6
1722,1153,3
1723,1229,1
1724,939,114
1725,165,12
1726,291,2
1727,290,8
1728,1230,2
1729,136,3
1730,1231,1
1731,58,2
1732,892,11
1733,1232,1
1734,283,14
1735,292,2
1736,1144,4
1737,1161,5
1738,286,32
1739,1233,2
1740,477,5
1741,1109,3
1742,293,5
1743,294,11
1744,1234,1
1745,1201,3
1746,313,87
1747,244,7
1748,30,9
1749,1235,3
1750,794,7
1751,295,5
1752,296,2
1753,297,1
1754,949,3
1755,760,10
1756,1236,5
1757,455,8
1758,222,11
1759,1237,2
1760,1238,1
1761,1239,1
1762,1240,3
1763,1241,2
1764,674,3
1765,124,22
1766,578,5
1767,197,6
1768,495,28
1769,911,4
1770,284,18
1771,918,22
1772,141,16
1773,59,13
1774,1242,2
1775,1243,2
1776,1244,4
1777,1088,11
1778,298,1
1779,299,3
1780,1245,4
1781,1141,2
1782,1246,1
1783,435,14
1784,1247,1
1785,118,34
1786,1215,19
1787,768,3
1788,136,3
1789,313,87
1790,1248,1
1791,121,5
1792,1240,3
1793,1249,2
1794,1144,4
1795,162,22
1796,1250,1
1797,229,10
1798,300,10
1799,301,4
1800,49,6
1801,998,6
1802,1251,5
1803,1252,1
1804,302,1
1805,1253,1
1806,313,87
1807,787,21
1808,1251,5
1809,165,12
1810,674,3
1811,543,26
1812,222,11
1813,940,4
1814,187,35
1815,303,2
1816,1254,1
1817,304,3
1818,680,3
1819,113,4
1820,1255,1
1821,1256,3
1822,286,32
1823,120,5
1824,236,10
1825,1257,1
1826,178,4
1827,270,5
1828,758,4
1829,247,2
1830,1258,1
1831,196,4
1832,313,87
1833,1259,3
1834,305,1
1835,939,114
1836,306,3
1837,222,11
1838,1170,8
1839,1260,4
1840,45,21
1841,145,21
1842,1261,3
1843,145,21
1844,218,28
1845,307,4
1846,152,2
1847,1262,1
1848,939,114
1849,1263,6
1850,875,4
1851,1264,1
1852,280,4
1853,186,4
1854,1265,1
1855,1266,1
1856,205,7
1857,1137,6
1858,1267,1
1859,218,28
1860,1256,3
1861,286,32
1862,407,4
1863,92,3
1864,187,35
1865,163,7
1866,308,6
1867,1268,1
1868,279,17
1869,1269,3
1870,361,8
1871,1270,2
1872,1271,1
1873,483,3
1874,1272,1
1875,286,32
1876,309,1
1877,81,11
1878,1097,10
1879,313,87
1880,951,3
1881,1273,2
1882,1207,2
1883,257,9
1884,160,7
1885,1274,1
1886,964,2
1887,1275,3
1888,422,13
1889,21,10
1890,709,18
1891,165,12
1892,1276,14
1893,1277,4
1894,310,9
1895,961,7
1896,1278,2
1897,1182,6
1898,274,4
1899,1279,1
1900,543,26
1901,1280,8
1902,300,10
1903,1281,3
1904,1143,39
1905,795,12
1906,422,13
1907,1276,14
1908,1282,3
1909,311,2
1910,219,3
1911,381,4
1912,223,6
1913,1283,4
1914,312,2
1915,279,17
1916,313,87
1917,141,16
1918,195,3
1919,137,3
1920,1284,1
1921,1285,1
1922,1286,2
1923,1287,1
1924,1237,2
1925,821,3
1926,422,13
1927,313,87
1928,1288,1
1929,939,114
1930,286,32
1931,480,4
1932,1289,4
1933,315,6
1934,328,11
1935,287,3
1936,1290,1
1937,1291,1
1938,469,5
1939,316,2
1940,87,9
1941,722,22
1942,317,7
1943,1283,4
1944,617,9
1945,318,4
1946,218,28
1947,1215,19
1948,1292,1
1949,313,87
1950,1293,2
1951,223,6
1952,1161,5
1953,1294,1
1954,1280,8
1955,1295,1
1956,319,20
1957,1251,5
1958,892,11
1959,1276,14
1960,187,35
1961,1296,2
1962,1088,11
1963,984,3
1964,1,28
1965,264,7
1966,1277,4
1967,1297,2
1968,28,2
1969,53,3
1970,118,34
1971,1298,1
1972,313,87
1973,1299,4
1974,1300,1
1975,320,1
1976,321,1
1977,1276,14
1978,322,1
1979,217,3
1980,1124,4
1981,296,2
1982,558,4
1983,939,114
1984,823,6
1985,124,22
1986,323,2
1987,929,3
1988,324,7
1989,1256,3
1990,162,22
1991,325,2
1992,197,6
1993,1181,3
1994,977,3
1995,326,5
1996,818,3
1997,279,17
1998,319,20
1999,165,12
2000,1301,1
2001,1302,3
2002,1204,7
2003,240,5
2004,939,114
2005,1303,1
2006,1304,2
2007,628,29
2008,277,3
2009,1206,2
2010,1305,1
2011,1306,2
2012,1016,8
2013,327,7
2014,313,87
2015,1218,4
2016,1066,3
2017,293,5
2018,1307,1
2019,328,11
2020,166,2
2021,300,10
2022,445,5
2023,1308,1
2024,1309,18
2025,259,6
2026,1310,1
2027,121,5
2028,1215,19
2029,1311,1
2030,1312,1
2031,329,4
2032,1313,5
2033,313,87
2034,1314,1
2035,1315,3
2036,1143,39
2037,1302,3
2038,303,2
2039,207,4
2040,286,32
2041,330,3
2042,1316,5
2043,1276,14
2044,961,7
2045,1054,4
2046,20,4
2047,939,114
2048,1317,1
2049,325,2
2050,1318,1
2051,331,14
2052,560,23
2053,73,6
2054,332,2
2055,813,8
2056,1280,8
2057,313,87
2058,1319,1
2059,333,2
2060,837,4
2061,758,4
2062,1320,5
2063,138,8
2064,1122,20
2065,1321,17
2066,938,4
2067,1322,2
2068,334,1
2069,1297,2
2070,1323,10
2071,344,3
2072,1324,2
2073,907,11
2074,357,3
